file_name,passport_no,surname,full_line1,full_line2
KakaoTalk_20260513_182608717.jpg,855346577,GBRALLGROVE,P<GBRALLGROVE<<MICHAEL<<<<:,8553465778GBR7707087M1601013<<<<<<<<<<<<<<00
passport_0.jpg,0,Unknown,0,0
passport_1.jpg,R50351586,KAZLEE,P<KAZLEE<<JOHN<<<<<<-,R503515866KAZ7202146M34
passport_2.jpg,0,Unknown,0,0
passport_3.jpg,A55567333,KORIVANOV,P<KORIVANOV<<MINJUN<<<<<,A555673333KOR8005241F3510247<<<<<<<<<<<<<<<<
passport_4.jpg,0,Unknown,0,0
passport_5.jpg,V52804356,KAZLEE,P<KAZLEE<<SERGEI<<<<<<,V528043566K4Z9708066F2905154<<<<<<<<K<<KK<<K<
passport_6.jpg,C33728324,USASAIDOV,P<USASAIDOV<<MINJUN<<<<<,C337283240US49104118F3310182<<<<<<<<<<KK<<K<
passport_7.jpg,0,Unknown,0,0
passport_8.jpg,T66825534,KORSAIDOV,P<KORSAIDOV<<BAKHTIYOR<<<<<<<<,T668255342KOR9306266F2912279<<<<<<<<<<KK<<K<
passport_9.jpg,L46541729,KAZLEE,P<KAZLEE<<MINJUN<<<<<<,L465417297KAZ7404076M3405248<<<<<<<<<<<<<<<<
